ARTEFACT	ARTEFACT	ARTEFACT
DNA	TE	DNA|unclassified
DNA/CMC	TE	DNA|CMC-other
DNA/CMC-EnSpm	TE	DNA|CMC-EnSpm
DNA/hAT	TE	DNA|hAT-unclassified
DNA/hAT?	TE	DNA|hAT-unclassified
DNA/hAT-Ac	TE	DNA|hAT-Ac
DNA/hAT-Tag1	TE	DNA|hAT-other
DNA/hAT-Tip100	TE	DNA|hAT-Tip100
DNA/hAT-Tip100?	TE	DNA|hAT-Tip100
DNA/MULE-MuDR	TE	DNA|MULE-MuDR
DNA/MULE-MuDR?	TE	DNA|MULE-MuDR
DNA/PIF-Harbinger	TE	DNA|PIF-Harbinger
DNA/PIF-Harbinger?	TE	DNA|PIF-Harbinger
DNA/TcMar-Pogo	TE	DNA|other
DNA/TcMar-Stowaway	TE	DNA|other
DNA/Zisupton	TE	DNA|other
LINE/CRE	TE	LINE|other
LINE/L1	TE	LINE|L1
LINE?/L1	TE	LINE|L1
LINE/RTE-BovB	TE	LINE|other
Low_complexity	Low_complexity	Low_complexity
LTR	TE	LTR|unclassified
LTR/Cassandra	TE	LTR|other
LTR/Caulimoviru	TE	LTR|other
LTR/Caulimovirus	TE	LTR|other
LTR/Copia	TE	LTR|Copia
LTR/Copia?	TE	LTR|Copia
LTR/Gypsy	TE	LTR|Gypsy
LTR/Gypsy?	TE	LTR|Gypsy
LTR/Pao	TE	LTR|other
LTR/unknown	TE	LTR|unclassified
LTR/Unknown	TE	LTR|unclassified
RC/Helitron	TE	RC|Helitron
Retroposon	TE	Retroposon
Retroposon/L1-derived	TE	Retroposon|L1-derived
Retroposon/RTE-derived	TE	Retroposon|RTE-derived
rRNA	Small_RNA	Small_RNA
Satellite	Satellite	Satellite
Satellite/centr	Satellite	Satellite
Satellite/subtelo	Satellite	Satellite
Simple_repeat	Simple_repeat	Simple_repeat
SINE/tRNA-RTE	TE	SINE|other
snRNA	Small_RNA	Small_RNA
tRNA	Small_RNA	Small_RNA
Unknown	Unclassified	Unclassified
